id,day_reference,category,question_type,prompt,correct_answer,option_b,option_c,helper_text
443,4,Verbs,multiple_choice,"Bist du Student? - Ja, das ___ ich.","bin","ist","sei","Confirming identity."
444,5,W-Fragen,fill_in_blank,"___ lernst du Deutsch? (Why)","Warum","Was","Wie","Asking for a reason."
445,6,Nouns,multiple_choice,"The gender of 'Problem' is...","das (neuter)","der (masculine)","die (feminine)","Many loanwords from Greek ending in -em/-om/-um are neuter."
446,8,Verbs,fill_in_blank,"Ich ___ dir. (glauben - to believe)","glaube","glaubst","glaubt","Regular verb 'to believe'."
447,9,Cases,multiple_choice,"Er gibt ___ Frau die Blumen. (the)","der","die","den","'geben' takes a dative indirect object."
448,10,Verbs,fill_in_blank,"Das Baby ___ (schreien) laut.","schreit","schreist","schreie","'schreien' (to scream) is a regular verb."
449,11,Food & Drink,multiple_choice,"A type of German noodle, often served with cheese, is called...","Spätzle","Pasta","Nudeln","A specialty from Southern Germany."
450,12,Time,fill_in_blank,"Es ist fünf ___ halb zwei. (1:35)","nach","vor","um","'five past half to two'."
451,13,Dates,multiple_choice,"The day after today is...","morgen","gestern","heute","tomorrow."
452,15,Cases,fill_in_blank,"Ich fahre zu ___ Freund. (my)","meinem","meinen","mein","'zu' is a dative preposition."
453,16,Modal Verbs,multiple_choice,"Sie (they) ___ nicht schwimmen.","können","könnt","kann","Ability."
454,17,Modal Verbs,fill_in_blank,"Du ___ mir die Wahrheit sagen. (must)","musst","sollst","darfst","Strong obligation."
455,18,Directions,multiple_choice,"The museum is on the right.","Das Museum ist auf der rechten Seite.","Das Museum ist auf die rechte Seite.","Das Museum ist rechts Seite.","'auf der' for location."
456,19,Shopping,fill_in_blank,"Diese Schuhe sind im ___.","Sonderangebot","Angebot","Verkauf","'special offer'."
457,20,Separable Verbs,multiple_choice,"Ich mache beim Spiel ___.","mit","an","ein","'mitmachen' = to participate."
458,22,Perfect Tense,fill_in_blank,"Hast du gut ___? (geschlafen)","geschlafen","geschlaft","schlieft","Irregular participle of 'schlafen'."
459,23,Perfect Tense,multiple_choice,"Mein Opa ___ 90 Jahre alt geworden.","ist","hat","wurde","'werden' (to become) uses 'sein'."
460,25,Conjunctions,fill_in_blank,"Ich warte, während du ___. (telefonierst)","telefonierst","telefonieren","telefonierst du","'während' (while) is subordinating."
461,26,Possessives,multiple_choice,"Wem gehört das? - Das ist ___. (mine)","meins","mein","meine","Possessive pronoun."
462,27,Family,fill_in_blank,"Meine Schwester hat einen Sohn. Er ist mein ___.","Neffe","Nichte","Onkel","Nephew."
463,28,Hobbies,multiple_choice,"'Ich sammle Briefmarken' means...","I collect stamps.","I write letters.","I send postcards.","'sammeln' = to collect."
464,29,Writing,fill_in_blank,"Ich würde mich freuen, dich bald zu ___.","sehen","gesehen","sah","'I would be happy to see you soon.'"
465,30,Review,multiple_choice,"The past participle of 'essen' is...","gegessen","geesst","aß","Strong verb."
466,1,Greetings,fill_in_blank,"'Mahlzeit!' is a greeting you might hear around ___.","lunchtime","morning","evening","Often heard in offices around noon."
467,2,Introductions,multiple_choice,"What is your nationality? (Wie ist Ihre __?)","Staatsangehörigkeit","Nationalität","Herkunft","Formal term for nationality."
468,3,Numbers,fill_in_blank,"The number 30 is ___.","dreißig","dreizig","dreizehn","Note the 'ß'."
469,4,Verbs,multiple_choice,"Wo ___ ihr?","seid","sind","ist","'sein' for 'ihr'."
470,5,W-Fragen,fill_in_blank,"___ Buch liest du? (Which)","Welches","Was","Wie","'Welch-' asks for a specific one from a group."
471,6,Nouns,multiple_choice,"The gender of 'Kino' (cinema) is...","das (neuter)","der (masculine)","die (feminine)","das Kino."
472,8,Verbs,fill_in_blank,"Ich ___ (bezahlen) die Rechnung.","bezahle","bezahlst","bezahlt","Regular verb 'to pay'."
473,9,Cases,multiple_choice,"Ich kaufe ___ Blumen. (the, plural)","die","den","denen","Accusative plural is 'die'."
474,10,Verbs,fill_in_blank,"Er ___ (empfehlen) das Restaurant.","empfiehlt","empfehlst","empfehlt","'empfehlen' (to recommend) is stem-changing e->ie."
475,11,Food & Drink,multiple_choice,"'Ein Stück Kuchen' means...","A piece of cake","A cup of coffee","A glass of water","'Stück' = piece."
476,12,Time,fill_in_blank,"Der Laden schließt um ___. (18:30)","achtzehn Uhr dreißig","halb sieben","halb sechs","Official time."
477,13,Dates,multiple_choice,"New Year's Eve in German is called...","Silvester","Neujahr","Weihnachten","Named after Pope Sylvester I."
478,15,Cases,fill_in_blank,"Gegenüber ___ Post ist eine Bank. (the)","der","die","dem","'gegenüber' (opposite) is a dative preposition."
479,16,Modal Verbs,multiple_choice,"Ich ___ das nicht glauben.","kann","will","muss","'I can't believe that.'"
480,17,Modal Verbs,fill_in_blank,"Du ___ nicht so schnell fahren. (should)","solltest","musst","darfst","Polite advice."
481,18,Directions,multiple_choice,"Go to the end of the street.","Gehen Sie bis zum Ende der Straße.","Gehen Sie am Ende der Straße.","Gehen Sie zu Ende die Straße.","'bis zum Ende' = until the end."
482,19,Shopping,fill_in_blank,"Ich möchte das ___. (exchange)","umtauschen","tauschen","wechseln","'umtauschen' is a separable verb."
483,20,Separable Verbs,multiple_choice,"Stellst du dich bitte ___? (introduce yourself)","vor","an","ein","'sich vorstellen' = to introduce oneself."
484,22,Perfect Tense,fill_in_blank,"Ich habe ihn nicht ___. (erkannt)","erkannt","erkennt","erkannte","'erkennen' (to recognize) has an inseparable prefix 'er-'."
485,23,Perfect Tense,multiple_choice,"Das Eis ___ schnell geschmolzen.","ist","hat","wurde","'schmelzen' (to melt) is a change of state."
486,25,Conjunctions,fill_in_blank,"Obwohl es kalt ___, gehe ich spazieren.","ist","ist es","es ist","'obwohl' (although) is subordinating."
487,26,Possessives,multiple_choice,"Das ist die Schuld ___ (of your, inf.) Bruders.","deines","dein","deinem","Genitive case (advanced)."
488,27,Family,fill_in_blank,"Die Eltern meiner Eltern sind meine ___.","Großeltern","Urgroßeltern","Ahnen","Grandparents."
489,28,Hobbies,multiple_choice,"'Ich mache gern Yoga' means...","I like to do yoga.","I like to go jogging.","I like to play Yahtzee.","'Yoga' is a loanword."
490,29,Writing,fill_in_blank,"PS stands for Postskriptum, which means ___.","Postscript","Please send","Private message","Same as in English."
491,30,Review,multiple_choice,"The past participle of 'schreiben' is...","geschrieben","geschreibt","schrieb","Strong verb."
492,1,Greetings,fill_in_blank,"'Wie geht's?' is a very common abbreviation of 'Wie ___ es dir?'","geht","ist","macht","'How goes it for you?'"
493,2,Introductions,multiple_choice,"Which country is NOT primarily German-speaking?","Denmark","Austria","Switzerland","Germany, Austria, and Switzerland are the main three."
494,3,Numbers,fill_in_blank,"The number 40 is ___.","vierzig","vierzig","vierzehn","'-zig' for tens."
495,4,Verbs,multiple_choice,"'Das sind wir' means...","That is us.","That is them.","That is you.","Identifying a group including yourself."
496,5,W-Fragen,fill_in_blank,"Mit ___ sprichst du? (With whom?)","wem","wer","wen","Dative form of 'wer'."
497,6,Nouns,multiple_choice,"The gender of 'Museum' is...","das (neuter)","der (masculine)","die (feminine)","Loanwords ending in -um are often neuter."
498,8,Verbs,fill_in_blank,"Du ___ (zeichnen) ein Bild. (draw)","zeichnest","zeichnet","zeichne","Stem ends in -n, add extra -e-."
499,9,Cases,multiple_choice,"Ich schreibe ___ Brief. (a, masc.)","einen","ein","einem","'schreiben' takes an accusative object."
500,10,Verbs,fill_in_blank,"Er ___ (versprechen) es.","verspricht","versprichst","verspriche","'versprechen' (to promise) is stem-changing, but has an inseparable prefix."
501,11,Food & Drink,multiple_choice,"What is 'ein belegtes Brötchen'?","A sandwich/roll with toppings","A plain bread roll","A sweet pastry","A common snack."
502,12,Time,fill_in_blank,"Es ist Viertel ___ elf. (11:15)","nach","vor","halb","'Quarter past eleven'."
503,13,Dates,multiple_choice,"Christmas in German is...","Weihnachten","Ostern","Silvester","'Holy Night'."
504,15,Cases,fill_in_blank,"Außer ___ (me), ist niemand hier.","mir","mich","ich","'außer' (except for) is a dative preposition."
505,16,Modal Verbs,multiple_choice,"Was ___ wir heute essen?","wollen","wolle","will","'What do we want to eat today?'."
506,17,Modal Verbs,fill_in_blank,"Du ___ das nicht tun. (should not)","solltest","musst","darfst","Giving strong advice."
507,18,Directions,multiple_choice,"It's on the other side of the street.","Es ist auf der anderen Straßenseite.","Es ist an der anderen Straße.","Es ist gegenüber die Straße.","'die Straßenseite' = side of the street."
508,19,Shopping,fill_in_blank,"Haben Sie das auch eine Nummer ___? (smaller)","kleiner","klein","am kleinsten","Comparative adjective."
509,20,Separable Verbs,multiple_choice,"Ich hole dich vom Bahnhof ___.","ab","an","ein","'abholen' = to pick someone up."
510,22,Perfect Tense,fill_in_blank,"Was hast du ihm ___? (geschenkt)","geschenkt","geschenken","schenkte","'schenken' = to give a gift."
511,23,Perfect Tense,multiple_choice,"Die Blume ___ verblüht.","ist","hat","wurde","'verblühen' (to fade/wither) is a change of state."
512,25,Conjunctions,fill_in_blank,"Er lernt Deutsch, damit er in Deutschland ___ kann.","studieren","kann studieren","studieren können","'damit' (so that) is subordinating."
513,26,Possessives,multiple_choice,"Die Farbe ___ Autos ist rot. (of our)","unseres","unser","unseren","Genitive case (advanced)."
514,27,Family,fill_in_blank,"Die Tochter meines Bruders ist meine ___.","Nichte","Neffe","Cousine","Niece."
515,28,Hobbies,multiple_choice,"'Ich fahre gern Motorrad' means...","I like to ride a motorcycle.","I like to drive a motorboat.","I like to race cars.","'das Motorrad' = motorcycle."
516,29,Writing,fill_in_blank,"Mit ___ Grüßen","freundlichen","freundliche","freundlich","Formal closing: 'With friendly greetings'."
517,30,Review,multiple_choice,"The past participle of 'nehmen' is...","genommen","genehmt","nahm","Strong verb."
518,1,Alphabet,fill_in_blank,"The letter 'y' is called ___.","Ypsilon","Yott","Ypsilonn","From the Greek letter."
519,2,Introductions,multiple_choice,"What is your profession? (informal)","Was bist du von Beruf?","Was ist dein Beruf?","Was arbeitest du?","A common way to ask."
520,3,Numbers,fill_in_blank,"The number 50 is ___.","fünfzig","fünfzehn","fünf","'-zig' for tens."
521,4,Verbs,multiple_choice,"Das ___ kein Problem.","ist","sind","bin","'It is no problem.'"
522,5,W-Fragen,fill_in_blank,"___ gehört dieser Stift? (To whom)","Wem","Wer","Wen","Dative question word."
523,6,Nouns,multiple_choice,"The gender of 'Radio' is...","das (neuter)","der (masculine)","die (feminine)","das Radio."
524,8,Verbs,fill_in_blank,"Ich ___ (heiraten) nächstes Jahr.","heirate","heiratest","heiratet","'heiraten' = to marry."
525,9,Cases,multiple_choice,"Ich zeige ___ den Weg. (you, dative, inf.)","dir","dich","du","'zeigen' can take a dative object."
526,10,Verbs,fill_in_blank,"Der Dieb ___ (stehlen) das Geld.","stiehlt","stehlt","stiehlst","'stehlen' (to steal) is stem-changing e->ie."
527,11,Food & Drink,multiple_choice,"'Pommes' is short for...","Pommes frites","Pommeraner","Pomade","French fries."
528,12,Time,fill_in_blank,"Es ist ___ (gleich) 5 Uhr.","gleich","fast","kurz","'gleich' = in a moment, just about."
529,13,Dates,multiple_choice,"The day between Friday and Sunday is...","Samstag","Montag","Dienstag","Saturday."
530,15,Cases,fill_in_blank,"Ich komme mit ___ Freunden. (my, pl.)","meinen","meine","meiner","'mit' is dative. Dative plural is 'meinen'."
531,16,Modal Verbs,multiple_choice,"Man ___ hier schwimmen.","kann","darf","muss","It is possible to swim here."
532,17,Modal Verbs,fill_in_blank,"Wir ___ das Spiel gewinnen. (want to)","wollen","sollen","müssen","Expressing a strong desire."
533,18,Directions,multiple_choice,"The entrance is over there.","Der Eingang ist da drüben.","Der Ausgang ist da drüben.","Die Einfahrt ist da drüben.","'Eingang' = entrance."
534,19,Shopping,fill_in_blank,"Das ist mir zu ___. (tight)","eng","weit","kurz","'eng' = tight/narrow."
535,20,Separable Verbs,multiple_choice,"Ich schlage vor, wir gehen ins Kino. 'vorschlagen' means...","to suggest","to hit","to look up","'vorschlagen' = to propose/suggest."
536,22,Perfect Tense,fill_in_blank,"Sie hat das Fenster ___. (zugemacht)","zugemacht","gemacht zu","zumachte","'zumachen' = to close."
537,23,Perfect Tense,multiple_choice,"Die Pflanze ___ gewachsen.","ist","hat","wurde","'wachsen' (to grow) is a change of state."
538,25,Conjunctions,fill_in_blank,"Bevor du ___, ruf mich an. (gehst)","gehst","gehst du","gehen","'bevor' (before) is subordinating."
539,26,Possessives,multiple_choice,"Das ist nicht eure Schuld, sondern ___. (ours)","unsere","unser","unseres","Possessive pronoun."
540,27,Family,fill_in_blank,"Mein Mann hat einen Bruder. Er ist mein ___.","Schwager","Schwester","Onkel","Brother-in-law."
541,28,Hobbies,multiple_choice,"'Ich sammle Münzen' means...","I collect coins.","I collect stamps.","I collect minerals.","'die Münze' = coin."
542,29,Writing,fill_in_blank,"An: [email protected] / Betreff: ___","Betreff","Subjekt","Thema","'Betreff' = Subject line."
543,30,Review,multiple_choice,"The past participle of 'bleiben' is...","geblieben","gebleibt","blieb","Strong verb."
544,1,Alphabet,fill_in_blank,"The sound 'ch' after i, e, ä, ö, ü is a soft sound like in 'i_'.","ch","sch","h","The 'ich-laut'."
545,2,Introductions,multiple_choice,"What is your mother tongue? (Was ist Ihre ___?)","Muttersprache","Vatersprache","Landessprache","'mother tongue'."
546,3,Numbers,fill_in_blank,"The number 60 is ___.","sechzig","sechszehn","sechszig","'-zig' for tens."
547,4,Verbs,multiple_choice,"Das ___ meine Eltern.","sind","ist","seid","Plural subject."
548,5,W-Fragen,fill_in_blank,"___ Farbe hat das Auto? (Which)","Welche","Was","Wie","'Welche' because 'Farbe' is feminine."
549,6,Nouns,multiple_choice,"The gender of 'Büro' (office) is...","das (neuter)","der (masculine)","die (feminine)","das Büro."
550,8,Verbs,fill_in_blank,"Ich ___ (reservieren) einen Tisch.","reserviere","reservierst","reserviert","'reservieren' = to reserve."
551,9,Cases,multiple_choice,"Ich gebe ___ ein Buch. (the child, n.)","dem Kind","das Kind","den Kind","Dative indirect object."
552,10,Verbs,fill_in_blank,"Er ___ (lügen) nie.","lügt","lügst","lüge","'lügen' (to lie) is a regular verb."
553,11,Food & Drink,multiple_choice,"'Prost!' or 'Zum Wohl!' are things you say when you...","toast/cheers","sneeze","say goodbye","Cheers!"
554,12,Time,fill_in_blank,"Es ist halb ___. (1:30)","zwei","eins","drei","'half to two'."
555,13,Dates,multiple_choice,"The season after summer is...","der Herbst","der Winter","der Frühling","Autumn/Fall."
556,15,Cases,fill_in_blank,"Ich spreche mit ___ Chef. (my, m.)","meinem","meinen","mein","'mit' is dative."
557,16,Modal Verbs,multiple_choice,"Wir ___ das nicht machen. (are not allowed to)","dürfen","müssen","sollen","Prohibition."
558,17,Modal Verbs,fill_in_blank,"Man ___ immer die Wahrheit sagen. (should)","sollte","muss","darf","Moral advice."
559,18,Directions,multiple_choice,"Go up the stairs.","Gehen Sie die Treppe hinauf.","Gehen Sie die Treppe hinunter.","Gehen Sie die Treppe entlang.","'hinauf' = up."
560,19,Shopping,fill_in_blank,"Das ist zu ___. (wide/loose)","weit","eng","lang","'weit' = wide."
561,20,Separable Verbs,multiple_choice,"Hör bitte ___! (stop)","auf","an","zu","'aufhören' = to stop."
562,22,Perfect Tense,fill_in_blank,"Wir haben viel ___. (gelacht)","gelacht","gelachen","lachte","'lachen' (to laugh) is regular."
563,23,Perfect Tense,multiple_choice,"Er ___ vom Stuhl gefallen.","ist","hat","wurde","'fallen' (to fall) is a verb of motion."
564,25,Conjunctions,fill_in_blank,"Solange du hier ___, ist alles gut. (bist)","bist","du bist","sein","'solange' (as long as) is subordinating."
565,26,Possessives,multiple_choice,"Wessen Jacke ist das? - Es ist ___. (his)","seine","sein","seiner","Possessive pronoun."
566,27,Family,fill_in_blank,"Meine Frau hat eine Schwester. Sie ist meine ___.","Schwägerin","Schwager","Tante","Sister-in-law."
567,28,Hobbies,multiple_choice,"'Ich spiele gern Schach' means...","I like to play chess.","I like to play cards.","I like to play checkers.","'Schach' = chess."
568,29,Writing,fill_in_blank,"Anlage: Lebenslauf. 'Anlage' means...","Attachment","Address","Application","'Attachment' in an email."
569,30,Review,multiple_choice,"The past participle of 'gehen' is...","gegangen","gegeht","ging","Strong verb."
570,1,Alphabet,fill_in_blank,"The sound 'ch' after a, o, u is a hard, throaty sound like in 'Ba_'.","ch","k","h","The 'ach-laut'."
571,2,Introductions,multiple_choice,"What's your last name? (formal)","Wie ist Ihr Nachname?","Wie ist Ihr Vorname?","Was ist Ihr Name?","'Nachname' = last name."
572,3,Numbers,fill_in_blank,"The number 70 is ___.","siebzig","siebenzig","siebzehn","'-zig' for tens."
573,4,Verbs,multiple_choice,"Das ___ meine Kollegen.","sind","ist","seid","Plural subject."
574,5,W-Fragen,fill_in_blank,"Auf ___ wartest du? (For whom/what)","wen","wem","wer","'warten auf' takes an accusative object."
575,6,Nouns,multiple_choice,"The gender of 'Polizei' (police) is...","die (feminine)","der (masculine)","das (neuter)","Nouns ending in -ei are feminine."
576,8,Verbs,fill_in_blank,"Du ___ (mieten) eine Wohnung.","mietest","mietst","miete","'mieten' = to rent."
577,9,Cases,multiple_choice,"Ich frage ___ Lehrer. (the, masc.)","den","der","dem","'fragen' takes an accusative object."
578,10,Verbs,fill_in_blank,"Er ___ (schließen) die Tür.","schließt","schließst","schließe","'schließen' (to close) is a regular verb."
579,11,Food & Drink,multiple_choice,"A meal you can eat at any time of day is a...","Brotzeit","Frühstück","Mittagessen","'Bread time' - a snack with bread, cheese, sausage."
580,12,Time,fill_in_blank,"Es ist fünf ___ eins. (12:55)","vor","nach","halb","'five to one'."
581,13,Dates,multiple_choice,"The day before today was...","gestern","morgen","vorgestern","yesterday."
582,15,Cases,fill_in_blank,"Ich bin bei ___ Arzt. (the, masc.)","dem","den","der","'bei' is dative."
583,16,Modal Verbs,multiple_choice,"___ wir gehen? (Should we go?)","Sollen","Müssen","Dürfen","Making a suggestion."
584,17,Modal Verbs,fill_in_blank,"Ich ___ das nicht mehr hören. (want to)","will","kann","muss","'I don't want to hear that anymore.'"
585,18,Directions,multiple_choice,"The exit is that way.","Der Ausgang ist dort entlang.","Der Eingang ist dort.","Der Ausgang ist da.","'Ausgang' = exit."
586,19,Shopping,fill_in_blank,"Das ist mir zu ___. (short)","kurz","lang","klein","'kurz' = short."
587,20,Separable Verbs,multiple_choice,"Ich sehe heute Abend ___.","fern","ferne","fernen","'fernsehen' = to watch TV."
588,22,Perfect Tense,fill_in_blank,"Er hat das Spiel ___. (verloren)","verloren","verliert","verlor","'verlieren' = to lose."
589,23,Perfect Tense,multiple_choice,"Wir ___ in den See gesprungen.","sind","haben","wurden","'springen' (to jump) is a verb of motion."
590,25,Conjunctions,fill_in_blank,"Nachdem er ___, ging er schlafen. (gegessen hatte)","gegessen hatte","hatte gegessen","aß","'nachdem' (after) is subordinating, often with past perfect."
591,26,Possessives,multiple_choice,"Das Haus, ___ Dach rot ist... (whose)","dessen","sein","desser","Relative pronoun (advanced)."
592,27,Family,fill_in_blank,"Mein Vater hat eine Schwester. Sie ist meine ___.","Tante","Cousine","Nichte","Aunt."
593,28,Hobbies,multiple_choice,"'Ich gehe gern joggen' means...","I like to go jogging.","I like to go walking.","I like to go running.","'joggen' is a loanword."
594,29,Writing,fill_in_blank,"Ich beziehe mich auf ___ Anzeige. (your, formal)","Ihre","Ihr","Ihren","'sich beziehen auf' = to refer to."
595,30,Review,multiple_choice,"The past participle of 'sehen' is...","gesehen","geseht","sah","Strong verb."
596,1,Alphabet,fill_in_blank,"The letters 'eu' sound like '___' in English.","oy","ee","oo","As in 'Freund' (friend)."
597,2,Introductions,multiple_choice,"What's your first name? (formal)","Wie ist Ihr Vorname?","Wie ist Ihr Nachname?","Wie ist Ihr Name?","'Vorname' = first name."
598,3,Numbers,fill_in_blank,"The number 80 is ___.","achtzig","achtzehn","acht","'-zig' for tens."
599,4,Verbs,multiple_choice,"Das ___ meine Schlüssel.","sind","ist","seid","Plural subject."
600,5,W-Fragen,fill_in_blank,"Für ___ ist das Geschenk? (For whom?)","wen","wem","wer","'für' is an accusative preposition, so 'wen'."
601,6,Nouns,multiple_choice,"The gender of 'Restaurant' is...","das (neuter)","der (masculine)","die (feminine)","das Restaurant."
602,8,Verbs,fill_in_blank,"Ich ___ (erklären) dir die Regel.","erkläre","erklärst","erklärt","'erklären' = to explain."
603,9,Cases,multiple_choice,"Er schenkt ___ Blumen. (his girlfriend, dative)","seiner Freundin","seine Freundin","seinen Freundin","'schenken' takes a dative indirect object."
604,10,Verbs,fill_in_blank,"Sie ___ (empfangen) die Gäste.","empfängt","empfangt","empfange","'empfangen' (to receive) is stem-changing, but has an inseparable prefix."
605,11,Food & Drink,multiple_choice,"A popular German cake made with cherries is the...","Schwarzwälder Kirschtorte","Apfelstrudel","Käsekuchen","Black Forest Gateau."
606,12,Time,fill_in_blank,"Es ist zwanzig ___ neun. (8:40)","vor","nach","halb","'twenty to nine'."
607,13,Dates,multiple_choice,"Easter in German is...","Ostern","Pfingsten","Weihnachten","A major holiday."
608,15,Cases,fill_in_blank,"Ich sitze ___ Stuhl. (on the, dative)","auf dem","auf den","auf der","'auf' with location is dative."
609,16,Modal Verbs,multiple_choice,"Du ___ das nicht tun. (are not supposed to)","sollst","musst","darfst","It's not a good idea."
610,17,Modal Verbs,fill_in_blank,"Man ___ hier nicht überholen. (is not allowed to)","darf","muss","soll","'überholen' = to overtake."
611,18,Directions,multiple_choice,"Go along this street.","Gehen Sie diese Straße entlang.","Gehen Sie diese Straße durch.","Gehen Sie auf dieser Straße.","'entlang' can follow the noun."
612,19,Shopping,fill_in_blank,"Das ist mir zu ___. (long)","lang","kurz","weit","'lang' = long."
613,20,Separable Verbs,multiple_choice,"Ich bereite mich auf die Prüfung ___.","vor","an","ein","'sich vorbereiten' = to prepare oneself."
614,22,Perfect Tense,fill_in_blank,"Wir haben den Termin ___. (vergessen)","vergessen","vergisst","vergaß","'vergessen' (to forget) has an inseparable prefix."
615,23,Perfect Tense,multiple_choice,"Die Sonne ___ aufgegangen.","ist","hat","wurde","'aufgehen' (to rise) is a verb of motion."
616,25,Conjunctions,fill_in_blank,"Seitdem er hier ___, ist alles anders. (wohnt)","wohnt","wohnt er","wohnen","'seitdem' (since then) is subordinating."
617,26,Possessives,multiple_choice,"Deren Haus ist groß. 'Deren' is...","a genitive relative pronoun","a dative pronoun","a possessive article","Advanced grammar."
618,27,Family,fill_in_blank,"Die Mutter meines Vaters ist meine ___.","Oma","Tante","Uroma","Grandmother."
619,28,Hobbies,multiple_choice,"'Ich spiele gern Karten' means...","I like to play cards.","I like to play chess.","I like to play the guitar.","'die Karte' = card."
620,29,Writing,fill_in_blank,"Ich schicke Ihnen die Dokumente im ___.","Anhang","Anlage","Brief","'Anhang' = attachment."
621,30,Review,multiple_choice,"The past participle of 'sprechen' is...","gesprochen","gesprecht","sprach","Strong verb."
622,1,Alphabet,fill_in_blank,"The letters 'ie' sound like '___' in English.","ee","eye","ay","As in 'Liebe' (love)."
623,2,Introductions,multiple_choice,"How old are you? (formal)","Wie alt sind Sie?","Wie alt bist du?","Was ist Ihr Alter?","Formal question."
624,3,Numbers,fill_in_blank,"The number 90 is ___.","neunzig","neunzehn","neun","'-zig' for tens."
625,4,Verbs,multiple_choice,"Das ___ alles.","ist","sind","bin","'That is all.'"
626,5,W-Fragen,fill_in_blank,"Mit ___ hast du gesprochen? (With whom?)","wem","wen","wer","'mit' is dative, so 'wem'."
627,6,Nouns,multiple_choice,"The gender of 'Hotel' is...","das (neuter)","der (masculine)","die (feminine)","das Hotel."
628,8,Verbs,fill_in_blank,"Ich ___ (wiederholen) den Satz.","wiederhole","wiederholst","wiederholt","'wiederholen' = to repeat."
629,9,Cases,multiple_choice,"Ich warte auf ___ Bus. (the, masc.)","den","der","dem","'warten auf' is a fixed prepositional phrase with accusative."
630,10,Verbs,fill_in_blank,"Er ___ (bewerben) sich um den Job.","bewirbt","bewerbst","bewerbe","'sich bewerben' (to apply) is stem-changing e->i."
631,11,Food & Drink,multiple_choice,"A type of large, soft pretzel is a...","Brezel","Brötchen","Brot","A classic German snack."
632,12,Time,fill_in_blank,"Es ist fünf ___ halb vier. (3:25)","vor","nach","um","'five to half to four'."
633,13,Dates,multiple_choice,"The day before yesterday was...","vorgestern","gestern","übermorgen","'vor' = before."
634,15,Cases,fill_in_blank,"Ich träume von ___ Urlaub. (the, masc.)","dem","den","der","'träumen von' is a fixed prepositional phrase with dative."
635,16,Modal Verbs,multiple_choice,"Man ___ das glauben oder nicht.","kann","darf","muss","'One can believe it or not.'"
636,17,Modal Verbs,fill_in_blank,"Ihr ___ nicht aufgeben. (should)","sollt","müsst","dürft","Encouragement."
637,18,Directions,multiple_choice,"The pharmacy is opposite the bank.","Die Apotheke ist gegenüber der Bank.","Die Apotheke ist gegenüber die Bank.","Die Apotheke ist gegenüber von die Bank.","'gegenüber' takes the dative."
638,19,Shopping,fill_in_blank,"Das Hemd ist aus ___. (cotton)","Baumwolle","Wolle","Seide","'Baumwolle' = cotton."
639,20,Separable Verbs,multiple_choice,"Ich stelle dir meine Freunde ___.","vor","an","ein","'vorstellen' = to introduce."
640,22,Perfect Tense,fill_in_blank,"Sie hat mir ___. (verziehen)","verziehen","verzeiht","verzog","'verzeihen' (to forgive) is inseparable."
641,23,Perfect Tense,multiple_choice,"Das Kind ___ eingeschlafen.","ist","hat","wurde","'einschlafen' (to fall asleep) is a change of state."
642,25,Conjunctions,fill_in_blank,"Ich helfe dir, falls du Probleme ___. (hast)","hast","hast du","haben","'falls' (in case) is subordinating."
643,26,Possessives,multiple_choice,"Wessen Idee war das? - Es war ___. (hers)","ihre","ihr","ihres","Possessive pronoun."
644,27,Family,fill_in_blank,"Der Sohn meiner Schwester ist mein ___.","Neffe","Nichte","Cousin","Nephew."
645,28,Hobbies,multiple_choice,"'Ich gehe gern spazieren' means...","I like to go for a walk.","I like to go shopping.","I like to go swimming.","A relaxing activity."
646,29,Writing,fill_in_blank,"Sehr ___ Damen und Herren,","geehrte","geehrt","geehrtes","The most formal greeting."
647,30,Review,multiple_choice,"The past participle of 'helfen' is...","geholfen","gehelft","half","Strong verb."
648,1,Alphabet,fill_in_blank,"The letters 'ei' sound like '___' in English.","eye","ee","ay","As in 'mein' (my)."
649,2,Introductions,multiple_choice,"Where were you born? (formal)","Wo sind Sie geboren?","Wo bist du geboren?","Woher kommen Sie?","'geboren' = born."
650,3,Numbers,fill_in_blank,"The number 1000 is ___.","(ein)tausend","hundert","zehntausend","'thousand'."
651,4,Verbs,multiple_choice,"Das ___ kein Problem für uns.","ist","sind","bin","'Das' as the subject takes 'ist'."
652,5,W-Fragen,fill_in_blank,"An ___ denkst du? (About whom/what?)","was","wen","wem","'denken an' takes accusative, but for things, use 'was'."
653,6,Nouns,multiple_choice,"The gender of 'Information' is...","die (feminine)","der (masculine)","das (neuter)","Nouns ending in '-tion' are feminine."
654,8,Verbs,fill_in_blank,"Ich ___ (öffnen) das Fenster.","öffne","öffnest","öffnet","Regular verb 'to open'."
655,9,Cases,multiple_choice,"Wir besuchen ___ Großeltern. (our, pl.)","unsere","unser","unseren","'besuchen' takes accusative."
656,10,Verbs,fill_in_blank,"Er ___ (schneiden) das Brot.","schneidet","schneidest","schneide","'schneiden' (to cut) is regular, but stem ends in -d."
657,11,Food & Drink,multiple_choice,"A meal with sausage, sauerkraut, and potatoes is a...","classic German meal","light snack","dessert","A stereotypical but common combination."
658,12,Time,fill_in_blank,"Der Termin ist um Viertel ___ vier. (3:45)","vor","nach","halb","'quarter to four'."
659,13,Dates,multiple_choice,"The season after winter is...","der Frühling","der Sommer","der Herbst","Spring."
660,15,Cases,fill_in_blank,"Ich gehe zu ___ Bäckerei. (the, fem.)","der","die","dem","'zu' is dative."
